year,avg_temp
1743,7.65
1744,11.48
1745,4.73
1746,
1747,
1748,
1749,
1750,11.18
1751,11.15
1752,6.97
1753,10.40
1754,10.15
1755,9.84
1756,10.20
1757,10.02
1758,9.62
1759,10.66
1760,10.50
1761,10.55
1762,10.06
1763,9.83
1764,10.31
1765,10.15
1766,9.99
1767,10.01
1768,10.07
1769,10.10
1770,9.99
1771,9.98
1772,10.94
1773,10.35
1774,10.32
1775,10.92
1776,10.25
1777,10.17
1778,10.80
1779,11.36
1780,10.63
1781,11.40
1782,9.53
1783,11.01
1784,9.45
1785,9.49
1786,9.65
1787,10.53
1788,10.48
1789,9.80
1790,10.59
1791,10.65
1792,10.60
1793,10.66
1794,11.09
1795,10.37
1796,10.26
1797,10.55
1798,10.52
1799,8.89
1800,10.46
1801,10.64
1802,10.46
1803,9.90
1804,10.46
1805,9.09
1806,11.16
1807,10.24
1808,9.52
1809,9.90
1810,9.87
1811,11.17
1812,9.36
1813,9.77
1814,9.22
1815,10.06
1816,8.89
1817,10.06
1818,10.76
1819,10.79
1820,9.68
1821,10.67
1822,11.54
1823,10.00
1824,10.48
1825,10.87
1826,10.70
1827,10.08
1828,11.02
1829,8.76
1830,9.59
1831,10.80
1832,10.02
1833,10.26
1834,11.57
1835,10.18
1836,10.30
1837,9.80
1838,9.29
1839,10.19
1840,9.63
1841,10.15
1842,9.99
1843,10.36
1844,9.70
1845,9.43
1846,11.41
1847,10.01
1848,10.39
1849,10.34
1850,9.79
1851,9.76
1852,10.98
1853,9.32
1854,10.23
1855,8.98
1856,10.32
1857,10.88
1858,9.94
1859,11.09
1860,9.15
1861,10.30
1862,10.82
1863,10.78
1864,9.36
1865,10.78
1866,10.77
1867,10.10
1868,11.33
1869,10.31
1870,9.72
1871,9.43
1872,11.07
1873,10.36
1874,10.29
1875,10.17
1876,10.57
1877,10.49
1878,10.13
1879,8.68
1880,10.47
1881,9.87
1882,10.20
1883,9.97
1884,10.66
1885,9.78
1886,10.10
1887,9.05
1888,9.12
1889,9.48
1890,9.34
1891,9.53
1892,9.80
1893,10.79
1894,10.31
1895,9.83
1896,9.80
1897,10.48
1898,10.79
1899,10.74
1900,10.79
1901,9.90
1902,9.83
1903,10.27
1904,10.40
1905,10.01
1906,10.50
1907,10.11
1908,9.92
1909,9.59
1910,10.32
1911,11.16
1912,10.34
1913,10.76
1914,10.53
1915,10.21
1916,10.39
1917,9.37
1918,10.54
1919,9.69
1920,10.67
1921,11.43
1922,9.79
1923,10.46
1924,10.10
1925,10.11
1926,10.84
1927,10.32
1928,10.93
1929,10.10
1930,10.87
1931,9.94
1932,10.38
1933,10.32
1934,11.14
1935,10.62
1936,10.50
1937,10.93
1938,10.73
1939,10.55
1940,9.72
1941,9.93
1942,9.99
1943,11.20
1944,10.48
1945,11.30
1946,10.35
1947,11.29
1948,10.95
1949,11.51
1950,10.77
1951,10.59
1952,10.53
1953,10.84
1954,10.25
1955,10.44
1956,9.59
1957,10.94
1958,10.62
1959,11.66
1960,10.83
1961,11.43
1962,9.55
1963,9.14
1964,10.45
1965,9.94
1966,10.82
1967,10.77
1968,10.20
1969,10.53
1970,10.51
1971,10.63
1972,10.19
1973,10.57
1974,10.91
1975,10.73
1976,11.41
1977,10.69
1978,10.03
1979,10.05
1980,10.07
1981,10.66
1982,11.27
1983,11.17
1984,10.65
1985,9.87
1986,10.17
1987,10.05
1988,11.30
1989,11.77
1990,11.96
1991,10.60
1992,11.15
1993,10.70
1994,11.96
1995,11.69
1996,10.14
1997,11.59
1998,11.25
1999,11.83
2000,11.74
2001,11.37
2002,11.87
2003,11.91
2004,11.34
2005,11.55
2006,11.79
2007,11.75
2008,11.28
2009,11.46
2010,10.41
2011,12.33
2012,11.22
2013,11.01
